1,2,13,1,1,"add@24-24@src/benchmarks.js","src/benchmarks.js","add","add ( s )",24,24
8,1,65,1,8,"variants@25-32@src/benchmarks.js","src/benchmarks.js","variants","variants ( s )",25,32
7,4,49,2,7,"lookupBenchmark@47-53@src/benchmarks.js","src/benchmarks.js","lookupBenchmark","lookupBenchmark ( modelId , models )",47,53
2,1,6,0,2,"(anonymous)@67-68@src/benchmarks.js","src/benchmarks.js","(anonymous)","(anonymous)",67,68
1,1,6,0,1,"(anonymous)@70-70@src/benchmarks.js","src/benchmarks.js","(anonymous)","(anonymous)",70,70
7,2,69,1,8,"agenticScore@64-71@src/benchmarks.js","src/benchmarks.js","agenticScore","agenticScore ( data )",64,71
12,7,142,2,12,"formatBench@82-93@src/benchmarks.js","src/benchmarks.js","formatBench","formatBench ( modelId , models )",82,93
22,4,162,1,69,"slugCandidates@14-82@src/benchmarks.js","src/benchmarks.js","slugCandidates","slugCandidates ( modelId )",14,82
21,6,113,1,21,"discoverSquadModels@42-62@src/model-data.js","src/model-data.js","discoverSquadModels","discoverSquadModels ( dir )",42,62
22,7,140,2,22,"perfFromBenchmark@74-95@src/model-data.js","src/model-data.js","perfFromBenchmark","perfFromBenchmark ( modelId , benchmarksModels )",74,95
9,2,70,3,9,"mergeModelData@111-119@src/model-data.js","src/model-data.js","mergeModelData","mergeModelData ( modelIds , benchmarksModels , existing )",111,119
17,3,69,4,17,"buildModelData@130-146@src/model-data.js","src/model-data.js","buildModelData","buildModelData ( dir , benchmarksModels , existing , generated )",130,146
17,13,210,1,21,"formatPerf@161-181@src/model-data.js","src/model-data.js","formatPerf","formatPerf ( entry )",161,181
5,5,50,2,5,"modelsChanged@194-198@src/model-data.js","src/model-data.js","modelsChanged","modelsChanged ( existing , snapshot )",194,198
8,4,42,1,8,"readModelData@207-214@src/model-data.js","src/model-data.js","readModelData","readModelData ( file )",207,214
14,3,85,1,182,"extractModelId@26-207@src/model-data.js","src/model-data.js","extractModelId","extractModelId ( content )",26,207
8,1,48,2,8,"slugForModel@48-55@src/workers.js","src/workers.js","slugForModel","slugForModel ( modelId , role )",48,55
20,2,117,3,20,"agentMarkdown@66-85@src/workers.js","src/workers.js","agentMarkdown","agentMarkdown ( role , modelId , promptBody )",66,85
69,5,194,2,69,"buildBootstrap@24-92@src/bootstrap.js","src/bootstrap.js","buildBootstrap","buildBootstrap ( inventoryMarkdown , facts )",24,92
22,15,168,1,22,"estimateContextTokens@29-50@src/context.js","src/context.js","estimateContextTokens","estimateContextTokens ( messages )",29,50
10,7,85,1,10,"resolveOrchestratorModel@60-69@src/context.js","src/context.js","resolveOrchestratorModel","resolveOrchestratorModel ( messages )",60,69
12,3,61,2,12,"formatLocalDateTime@80-91@src/context.js","src/context.js","formatLocalDateTime","formatLocalDateTime ( date , timeZone )",80,91
1,1,11,1,1,"k@93-93@src/context.js","src/context.js","k","k ( n )",93,93
14,7,116,2,14,"formatContextLine@105-118@src/context.js","src/context.js","formatContextLine","formatContextLine ( used , limit )",105,118
17,14,146,1,18,"buildLimitMap@130-147@src/context.js","src/context.js","buildLimitMap","buildLimitMap ( providers )",130,147
2,1,5,1,2,"fmtCtx@5-6@src/inventory.js","src/inventory.js","fmtCtx","fmtCtx ( n )",5,6
1,2,8,0,1,"(anonymous)@21-21@src/inventory.js","src/inventory.js","(anonymous)","(anonymous)",21,21
20,13,151,0,20,"(anonymous)@24-43@src/inventory.js","src/inventory.js","(anonymous)","(anonymous)",24,43
7,2,49,3,26,"formatInventory@20-45@src/inventory.js","src/inventory.js","formatInventory","formatInventory ( agents , perf , limits )",20,45
1,3,21,0,1,"(anonymous)@57-57@src/inventory.js","src/inventory.js","(anonymous)","(anonymous)",57,57
3,2,21,1,3,"hasSquad@56-58@src/inventory.js","src/inventory.js","hasSquad","hasSquad ( agents )",56,58
